2023-10-01 14:36:06,729.Heart_Rate_Producer.INFO ==================================================
2023-10-01 14:36:06,730.Heart_Rate_Producer.INFO Today is 2023-10-01 at 02:36 PM
2023-10-01 14:36:06,731.Heart_Rate_Producer.INFO Running on: nt Windows 10
2023-10-01 14:36:06,731.Heart_Rate_Producer.INFO Python version:  3.11.3
2023-10-01 14:36:06,731.Heart_Rate_Producer.INFO Python path: C:\Users\wadej\AppData\Local\Programs\Python\Python311
2023-10-01 14:36:06,732.Heart_Rate_Producer.INFO Working dir: C:\Users\wadej\OneDrive\Documents\Custom-07-Heart-Rate
2023-10-01 14:36:06,732.Heart_Rate_Producer.INFO ==================================================
2023-10-01 14:36:13,388.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:20', '80') to Heart_Rate_Queue
2023-10-01 14:36:15,389.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:20', '53') to Heart_Rate_Queue
2023-10-01 14:36:17,391.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:21', '86') to Heart_Rate_Queue
2023-10-01 14:36:19,392.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:21', '56') to Heart_Rate_Queue
2023-10-01 14:36:21,393.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:22', '110') to Heart_Rate_Queue
2023-10-01 14:36:23,394.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:22', '97') to Heart_Rate_Queue
2023-10-01 14:36:25,396.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:23', '103') to Heart_Rate_Queue
2023-10-01 14:36:27,397.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:23', '53') to Heart_Rate_Queue
2023-10-01 14:36:29,398.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:24', '114') to Heart_Rate_Queue
2023-10-01 14:36:31,400.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:24', '55') to Heart_Rate_Queue
2023-10-01 14:36:33,401.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:25', '59') to Heart_Rate_Queue
2023-10-01 14:36:35,403.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:25', '54') to Heart_Rate_Queue
2023-10-01 14:36:37,404.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:25', '124') to Heart_Rate_Queue
2023-10-01 14:36:39,405.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:26', '126') to Heart_Rate_Queue
2023-10-01 14:36:41,406.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:26', '123') to Heart_Rate_Queue
2023-10-01 14:36:43,408.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:27', '75') to Heart_Rate_Queue
2023-10-01 14:36:45,410.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:27', '97') to Heart_Rate_Queue
2023-10-01 14:36:47,411.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:28', '130') to Heart_Rate_Queue
2023-10-01 14:36:49,413.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:28', '73') to Heart_Rate_Queue
2023-10-01 14:36:51,414.Heart_Rate_Producer.INFO  [x] Sent ('5/22/2021 12:29', '111') to Heart_Rate_Queue
